id,type,copy,blurb,pointsTo,url,urlText,imageUrl
77,link,What's the fee?,,,https://dmv.ny.gov/driver-license/fees-refunds,,
78,question,Congratulations! You must take a road test to obtain a drivers license.,,"79,80",,,
79,input,How do I prepare?,,81,,,
80,input,How do I take it?,,95,,,
81,question,"To prepare for your road test, you must: 1) obey the learner permit restrictions on where and when you may drive, 2) complete a 5-hour Pre-licensing Course, 3) get an appropriate amount of supervised driving practice.",,"82,83,84",,,
82,input,Restrictions?,,85,,,
83,input,What's the course?,,87,,,
84,input,How much practice?,,92,,,
85,question,You may not drive unless accompanied by a supervising driver age 21 or older who has a valid license to operate the vehicle you are driving.,,86,,,
86,link,Learn more,"You may not drive with a learner permit on: 1) any street within a park in New York City, 2) any bridge or tunnel under the jurisdiction of the tri-borough Bridge and Tunel Authority, 3) the Cross Crountry, Hutchinson River, Saw Mill River, or Taconic State parkways in Westchester County, and 4) a DMV road test area. There are additional restrictions for learner permit holders under age 18.",,https://dmv.ny.gov/node/2132,,
87,question,"The course covers many important topics, including: 1) driving within the highway transportation system, 2) driver habits and skills, 3) feelings, attitudes and risk taking, 4) alcohol, other drugs and driving","It is a DMV-approved, standardized classroom course that provides knowledge that you will need as a new driver.","88,89",,,
88,link,Find out more,,,https://dmv.ny.gov/forms/mv277.pdf,,
89,input,Find a course,,90,,,
90,question,"If you complete a high school or college driver education course, you will receive a Driver Education Certificate (MV-285), and you do not need a Pre-licensing Course Certificate. You must have one of these certificates to schedule your road test.","The Pre-licensing Course is available through high schools, colleges, and many driving schools. To find providers in your area, look online or in your telephone directory for “Driving Instruction.” When you successfully complete the course, you will be given a Pre-licensing Course Certificate (MV-278).",91,,,
91,link,Search near me,,,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=driving%20instructions%20near%20me,,
92,question,"Before you take your read test, you must have a minimum of 50 hours of supervised practice driving with: 1) at least 15 hours at night (after sunset), and 2) at least 10 hours in moderate to heavy traffic. ",,"93,94",,,
93,link,Learn more,"If you are under age 18, your parent must complete Certification of Supervised Driving (MV-262) to certify that you have had the required hours of supervised practice driving.",,https://dmv.ny.gov/forms/mv262.pdf,,
94,link,Visit website,,,https://dmv.ny.gov/driver-license/prepare-your-road-test,,
95,question,You must first schedule an appointment to take a road test.,,"96,97",,,
96,input,Schedule a road test,,98,,,
97,input,Already scheduled it,,100,,,
98,question,"3) provide your DMV ID Number from your Learner Permit and date of birth, 4) at least one unused test available, and 5) your ZIP code.","You must have the following to schedule a road test: 1) a valid New York State Learner Permit, 2) an original Pre-Licensing Course Certificate (MV-278) or a Driver Education Certificate (MV-285).","99,105",,,
99,input,What do I need?,,100,,,
100,question,"3) original Pre-Licensing Certificate or Driver Education Certificate, 4) a driver of age 21 or older who has a license valid to operate the test vehicle, 5) a vehicle to drive during the test that has a valid registration and inspection, operates properly and is in clean condition.","You must have all of the following: 1) your photo learner permit, 2) glasses or contacts, if your permit indicates you need corrective lenses","101,102",,,
101,input,What if I pass?,,103,,,
102,input,What if I fail?,,104,,,
103,question,The license examiner will give you an interim license that allows you to drive; keep the license with your photo learner permit. Allow 2 weeks to receive your photo driver license in the mail,,96,,,
104,question,"If you fail a non-commercial license road test, your learner permit remains valid until the expiration date. You can schedule another road test, but you must: 1) pay additional fees if you failed your first two road tests, 2) wait at least until the day after your failed road test to schedule another test.",,105,,,
105,link,Schedule a road test,,,https://roadtest.dmv.ny.gov/Default.asp,,
106,link,Go to website,Visit Social Security Administration to receive a letter of ineligibility.,,https://www.ssa.gov/,,
